Pais,ISO,Compromiso20,Compromiso30
Antigua y Barbuda,ATG,0.0,0.0
Argentina,ARG,12.4,37.0
Bahamas,BHS,10.0,30.0
Barbados,BRB,14.7,44.0
Belice,BLZ,0.0,0.0
Bolivia,BOL,0.0,0.0
Brasil,BRA,18.5,37.0
Chile,CHL,15.0,45.0
Colombia,COL,10.0,30.0
Costa Rica,CRI,8.4,25.0
Cuba,CUB,0.0,0.0
Dominica,DMA,14.9,44.7
Ecuador,ECU,10.45,20.9
El Salvador,SLV,0.0,0.0
Guatemala,GTM,7.6,22.6
Guyana,GUY,0.0,0.0
Haití,HTI,8.7,26.0
Honduras,HND,5.0,15.0
Jamaica,JAM,3.4,10.0
México,MEX,12.0,36.0
Nicaragua,NIC,0.0,0.0
Panamá,PAN,0.0,0.0
Paraguay,PRY,6.7,20.0
Perú,PER,10.0,30.0
República Dominicana,DOM,0.0,0.0
San Cristóbal y Nieves,KNA,11.7,35.0
San Vicente y las Granadinas,VCT,11.0,22.0
Santa Lucía,LCA,7.7,23.0
Surinam,SUR,0.0,0.0
Trinidad y Tobago,TTO,10.0,30.0
Uruguay,URY,0.0,0.0
Venezuela,VEN,6.7,20.0
