year,temperatura,codigo
1901,26.23,ATG
1902,25.87,ATG
1903,25.98,ATG
1904,25.5,ATG
1905,25.83,ATG
1906,25.65,ATG
1907,25.38,ATG
1908,25.56,ATG
1909,25.44,ATG
1910,25.42,ATG
1911,25.46,ATG
1912,25.79,ATG
1913,25.15,ATG
1914,25.52,ATG
1915,26.07,ATG
1916,25.6,ATG
1917,25.37,ATG
1918,25.43,ATG
1919,25.59,ATG
1920,25.44,ATG
1921,25.4,ATG
1922,25.3,ATG
1923,25.68,ATG
1924,26.04,ATG
1925,25.62,ATG
1926,26.12,ATG
1927,25.78,ATG
1928,25.81,ATG
1929,25.48,ATG
1930,25.73,ATG
1931,26.38,ATG
1932,26.34,ATG
1933,26.04,ATG
1934,25.85,ATG
1935,25.77,ATG
1936,26.03,ATG
1937,26.29,ATG
1938,25.81,ATG
1939,25.98,ATG
1940,26.59,ATG
1941,26.62,ATG
1942,26.7,ATG
1943,26.11,ATG
1944,26.28,ATG
1945,25.83,ATG
1946,25.98,ATG
1947,26.29,ATG
1948,26.3,ATG
1949,25.99,ATG
1950,25.8,ATG
1951,26.35,ATG
1952,26.34,ATG
1953,26.18,ATG
1954,26.09,ATG
1955,26.07,ATG
1956,25.94,ATG
1957,26.14,ATG
1958,26.66,ATG
1959,26.28,ATG
1960,26.51,ATG
1961,26.31,ATG
1962,26.35,ATG
1963,26.49,ATG
1964,26.35,ATG
1965,26.24,ATG
1966,26.44,ATG
1967,26.19,ATG
1968,26.26,ATG
1969,26.75,ATG
1970,26.58,ATG
1971,26.23,ATG
1972,26.44,ATG
1973,26.52,ATG
1974,26.18,ATG
1975,26.2,ATG
1976,26.07,ATG
1977,26.59,ATG
1978,26.7,ATG
1979,26.69,ATG
1980,27.08,ATG
1981,27.05,ATG
1982,26.69,ATG
1983,27.28,ATG
1984,26.7,ATG
1985,26.63,ATG
1986,26.79,ATG
1987,27.34,ATG
1988,26.97,ATG
1989,26.66,ATG
1990,26.96,ATG
1991,27.03,ATG
1992,26.93,ATG
1993,27.19,ATG
1994,26.99,ATG
1995,27.15,ATG
1996,26.87,ATG
1997,27.0,ATG
1998,27.43,ATG
1999,26.96,ATG
2000,26.76,ATG
2001,27.17,ATG
2002,27.25,ATG
2003,27.21,ATG
2004,26.93,ATG
2005,27.34,ATG
2006,27.14,ATG
2007,27.12,ATG
2008,26.79,ATG
2009,27.25,ATG
2010,27.51,ATG
2011,27.1,ATG
2012,27.26,ATG
2013,27.3,ATG
2014,27.32,ATG
2015,27.51,ATG
2016,27.49,ATG
2017,27.36,ATG
2018,27.03,ATG
2019,27.43,ATG
2020,27.44,ATG
2021,27.33,ATG
1901,15.2,ARG
1902,14.84,ARG
1903,14.49,ARG
1904,14.72,ARG
1905,14.34,ARG
1906,14.9,ARG
1907,14.19,ARG
1908,14.6,ARG
1909,14.47,ARG
1910,14.51,ARG
1911,14.2,ARG
1912,14.93,ARG
1913,15.4,ARG
1914,14.66,ARG
1915,14.69,ARG
1916,14.76,ARG
1917,14.77,ARG
1918,14.49,ARG
1919,14.96,ARG
1920,14.93,ARG
1921,14.32,ARG
1922,14.39,ARG
1923,14.28,ARG
1924,14.32,ARG
1925,14.69,ARG
1926,15.0,ARG
1927,14.79,ARG
1928,14.22,ARG
1929,14.91,ARG
1930,14.86,ARG
1931,14.12,ARG
1932,15.02,ARG
1933,14.64,ARG
1934,14.36,ARG
1935,14.79,ARG
1936,14.64,ARG
1937,14.66,ARG
1938,14.42,ARG
1939,14.59,ARG
1940,14.53,ARG
1941,14.38,ARG
1942,14.34,ARG
1943,14.83,ARG
1944,15.29,ARG
1945,15.37,ARG
1946,14.58,ARG
1947,14.75,ARG
1948,14.77,ARG
1949,14.77,ARG
1950,14.73,ARG
1951,14.96,ARG
1952,14.94,ARG
1953,14.98,ARG
1954,14.57,ARG
1955,14.26,ARG
1956,14.0,ARG
1957,14.58,ARG
1958,14.83,ARG
1959,14.3,ARG
1960,14.92,ARG
1961,14.9,ARG
1962,14.77,ARG
1963,14.69,ARG
1964,14.32,ARG
1965,14.8,ARG
1966,14.6,ARG
1967,14.95,ARG
1968,15.06,ARG
1969,15.16,ARG
1970,15.08,ARG
1971,14.53,ARG
1972,14.69,ARG
1973,14.46,ARG
1974,14.5,ARG
1975,14.76,ARG
1976,14.23,ARG
1977,15.14,ARG
1978,14.99,ARG
1979,14.81,ARG
1980,15.12,ARG
1981,15.0,ARG
1982,15.07,ARG
1983,14.73,ARG
1984,14.18,ARG
1985,15.11,ARG
1986,15.13,ARG
1987,15.02,ARG
1988,14.62,ARG
1989,15.32,ARG
1990,14.97,ARG
1991,14.97,ARG
1992,14.6,ARG
1993,14.95,ARG
1994,15.53,ARG
1995,14.96,ARG
1996,14.99,ARG
1997,15.36,ARG
1998,15.03,ARG
