Pais,Cod_Pais,Compromiso
El Salvador,SLV,0.0
Antigua y Barbuda,ATG,0.0
Uruguay,URY,0.0
República Dominicana,DOM,0.0
Panamá,PAN,0.0
Surinam,SUR,0.0
Cuba,CUB,0.0
Guyana,GUY,0.0
Belice,BLZ,0.0
Bolivia,BOL,0.0
Nicaragua,NIC,0.0
Jamaica,JAM,10.0
Honduras,HND,15.0
Venezuela,VEN,20.0
Paraguay,PRY,20.0
San Vicente y las Granadinas,VCT,22.0
Santa Lucía,LCA,23.0
Costa Rica,CRI,25.0
Haití,HTI,26.0
Trinidad y Tobago,TTO,30.0
Perú,PER,30.0
Bahamas,BHS,30.0
Colombia,COL,30.0
México,MEX,36.0
Barbados,BRB,44.0
San Cristóbal y Nieves,KNA,35.0
Argentina,ARG,37.0
Brasil,BRA,37.0
Chile,CHL,45.0
Ecuador,ECU,20.9
Dominica,DMA,44.7
Guatemala,GTM,22.6
