Anio,Pais,Emisiones_de_CO2
1988,Cuba,34.53880162
1989,Cuba,35.52797627
1990,Cuba,35.625388774
1991,Cuba,35.562073543
1992,Cuba,32.389277113
1993,Cuba,29.25668561
1994,Cuba,28.168230551
1995,Cuba,29.196105042
1996,Cuba,31.207549721
1997,Cuba,30.194188938
1998,Cuba,33.588388758
1999,Cuba,32.910194714
2000,Cuba,33.108387109
2001,Cuba,32.295198036
2002,Cuba,32.68766906
2003,Cuba,33.799902475
2004,Cuba,32.825485415
2005,Cuba,32.827538445
2006,Cuba,28.86738089
2007,Cuba,24.827564418
2008,Cuba,19.084673907
2009,Cuba,29.219507182
2010,Cuba,29.22173837
2011,Cuba,28.057056726
2012,Cuba,25.041649313
2013,Cuba,28.369444739
2014,Cuba,27.117107824
2015,Cuba,27.815524427
2016,Cuba,30.158298974
2017,Cuba,23.149599654
2018,Cuba,20.961049262
2019,Cuba,22.496372604
1981,Cuba,29.94460527
1982,Cuba,30.503858076
1983,Cuba,33.553452188
1984,Cuba,30.434603795
1985,Cuba,31.473309626
1986,Cuba,31.550104468
1987,Cuba,34.525142414
1980,Cuba,-1.0
1981,Chile,21.608615918
1982,Chile,20.777298692
1983,Chile,16.687740254
1984,Chile,17.954715371
1985,Chile,20.323000596
1986,Chile,19.4178375
1987,Chile,19.403419549
1988,Chile,19.939354349
1989,Chile,23.530224019
1990,Chile,28.623170396
1991,Chile,30.368899694
1992,Chile,28.879754552
1993,Chile,30.03139498
1994,Chile,32.739001079
1995,Chile,35.879767705
1996,Chile,39.092920312
1997,Chile,43.880968586
1998,Chile,50.638338583
1999,Chile,51.488744946
2000,Chile,55.77806557
2001,Chile,52.299004537
2002,Chile,51.555660643
2003,Chile,53.722797528
2004,Chile,55.994072484
2005,Chile,61.16096146
2006,Chile,63.504145094
2007,Chile,64.697668961
2008,Chile,70.007309667
2009,Chile,72.079364098
2010,Chile,68.293804461
2011,Chile,71.868038089
2012,Chile,76.495521228
2013,Chile,77.6102117
2014,Chile,81.676454475
2015,Chile,76.416465602
2016,Chile,80.338871458
2017,Chile,85.140815867
2018,Chile,86.722943017
2019,Chile,86.874650457
1980,Chile,-1.0
2002,Belice,0.9
2003,Belice,0.8
2004,Belice,0.8
2005,Belice,0.9
2008,Belice,1.073313812
2012,Belice,0.423049876
2013,Belice,0.476432412
2014,Belice,0.516362349
2015,Belice,0.505700203
2016,Belice,0.597846
2017,Belice,0.591488
2018,Belice,0.676589459
2019,Belice,0.577712955
1981,Belice,0.2255
2010,Belice,0.5
2011,Belice,0.5
2006,Belice,1.0
2007,Belice,1.0
2009,Belice,1.0
1980,Belice,-1.0
1991,Belice,0.3
1992,Belice,0.3
1993,Belice,0.3
1994,Belice,0.3
1995,Belice,0.3
1996,Belice,0.3
1997,Belice,0.3
1987,Belice,0.3
2001,Belice,0.7
1988,Belice,0.2
1989,Belice,0.2
1990,Belice,0.2
1982,Belice,0.2
1983,Belice,0.2
1984,Belice,0.2
1985,Belice,0.2
1986,Belice,0.2
1998,Belice,0.4
1999,Belice,0.4
2000,Belice,0.4
1981,Brasil,187.731100826
1982,Brasil,178.096623767
1983,Brasil,174.065355486
1984,Brasil,166.134085081
1985,Brasil,181.00356415
1986,Brasil,194.906575648
1987,Brasil,215.790895603
1988,Brasil,222.947276004
1989,Brasil,223.394276154
1990,Brasil,231.995595162
1991,Brasil,243.069804424
1992,Brasil,251.544042026
1993,Brasil,243.906254218
1994,Brasil,265.128557628
1995,Brasil,279.392176316
1996,Brasil,299.819187827
1997,Brasil,316.633890261
1998,Brasil,333.150113347
1999,Brasil,329.492351347
2000,Brasil,341.813329688
2001,Brasil,326.632456149
2002,Brasil,331.635044954
2003,Brasil,328.257054614
2004,Brasil,322.710828384
2005,Brasil,337.988532755
2006,Brasil,342.001465182
2007,Brasil,349.282669137
2008,Brasil,362.983462641
2009,Brasil,383.629281149
2010,Brasil,355.535677219
2011,Brasil,409.648966863
2012,Brasil,431.174655173
2013,Brasil,462.028577038
2014,Brasil,491.320111606
2015,Brasil,509.822374377
2016,Brasil,500.437378452
2017,Brasil,466.802668561
2018,Brasil,475.528895334
2019,Brasil,453.443272227
1980,Brasil,-1.0
1988,Guyana,1.1
1989,Guyana,1.1
1992,Guyana,0.8
1993,Guyana,0.9
1998,Guyana,1.1
1999,Guyana,1.4
2008,Guyana,1.519155927
2012,Guyana,1.841371515
2013,Guyana,2.080137006
2014,Guyana,2.028611814
2015,Guyana,2.028761361
2016,Guyana,2.099613
2017,Guyana,2.361872
2018,Guyana,2.281382873
2019,Guyana,2.321942783
1981,Guyana,1.42148
1983,Guyana,1.3
1985,Guyana,1.3
1986,Guyana,1.4
1987,Guyana,1.4
