,Pais,Anio,Emisiones_de_CO2
0,Cuba,1988,34.53880162
1,Cuba,1989,35.52797627
2,Cuba,1990,35.625388774
3,Cuba,1991,35.562073543
4,Cuba,1992,32.389277113
5,Cuba,1993,29.25668561
6,Cuba,1994,28.168230551
7,Cuba,1995,29.196105042
8,Cuba,1996,31.207549721
9,Cuba,1997,30.194188938
10,Cuba,1998,33.588388758
11,Cuba,1999,32.910194714
12,Cuba,2000,33.108387109
13,Cuba,2001,32.295198036
14,Cuba,2002,32.68766906
15,Cuba,2003,33.799902475
16,Cuba,2004,32.825485415
17,Cuba,2005,32.827538445
18,Cuba,2006,28.86738089
19,Cuba,2007,24.827564418
20,Cuba,2008,19.084673907
21,Cuba,2009,29.219507182
22,Cuba,2010,29.22173837
23,Cuba,2011,28.057056726
24,Cuba,2012,25.041649313
25,Cuba,2013,28.369444739
26,Cuba,2014,27.117107824
27,Cuba,2015,27.815524427
28,Cuba,2016,30.158298974
29,Cuba,2017,23.149599654
30,Cuba,2018,20.961049262
31,Cuba,2019,22.496372604
32,Perú,1988,24.101488699
33,Perú,1989,23.972440327
34,Perú,1990,20.802809406
35,Perú,1991,19.619105755
36,Perú,1992,18.854412962
37,Perú,1993,19.696323943
38,Perú,1994,22.228113777
39,Perú,1995,23.147096541
40,Perú,1996,24.145541895
41,Perú,1997,25.127879899
42,Perú,1998,24.850681262
43,Perú,1999,25.277597637
44,Perú,2000,26.366250528
45,Perú,2001,26.447421195
46,Perú,2002,25.370979121
47,Perú,2003,24.878399747
48,Perú,2004,25.002378961
49,Perú,2005,28.38360476
50,Perú,2006,29.267248344
51,Perú,2007,32.793034384
52,Perú,2008,31.214041109
53,Perú,2009,35.580425998
54,Perú,2010,36.454249765
55,Perú,2011,42.507749872
56,Perú,2012,44.412208586
57,Perú,2013,46.757305388
58,Perú,2014,47.876195386
59,Perú,2015,48.4727403
60,Perú,2016,49.882523732
61,Perú,2017,53.033412729
62,Perú,2018,51.037606187
63,Perú,2019,52.918496178
64,Chile,1980,-1.0
65,Chile,1981,21.608615918
66,Chile,1982,20.777298692
67,Chile,1983,16.687740254
