string_field_0,string_field_1
Panamá,Desarrollando
Cuba,Desarrollando
San Cristóbal y Nieves,Desarrollando
Trinidad y Tobago,Desarrollando
Costa Rica,Desarrollando
Nicaragua,Desarrollando
Ecuador,Desarrollando
San Vicente y las Granadinas,Desarrollando
Guyana,Desarrollando
Bahamas,Desarrollando
Brasil,Desarrollando
Surinam,Desarrollando
Antigua y Barbuda,Desarrollando
Jamaica,Desarrollando
Belice,Desarrollando
Guatemala,Desarrollando
Colombia,Desarrollando
Chile,Desarrollando
Perú,Desarrollando
Paraguay,Desarrollando
Honduras,Desarrollando
Santa Lucía,Desarrollando
México,Desarrollando
Barbados,Desarrollando
Uruguay,Desarrollando
Argentina,Desarrollando
Dominica,Desarrollando
Venezuela,Desarrollando
Bolivia,Desarrollando
El Salvador,Desarrollando
Estados Unidos,Industrializado
Canadá,Industrializado
Haití,Desarrollo de LDC (países menos adelantados)
República Dominicana,Desarrollo de LDC (países menos adelantados)
