,Pais,nivel,ISO,Región,Continente
0,Panamá,Desarrollando,PAN,América central,América
1,Cuba,Desarrollando,CUB,Caribe,América
2,San Cristóbal y Nieves,Desarrollando,KNA,Caribe,América
3,Trinidad y Tobago,Desarrollando,TTO,Caribe,América
4,Costa Rica,Desarrollando,CRI,América central,América
5,Nicaragua,Desarrollando,NIC,América central,América
6,Ecuador,Desarrollando,ECU,América del Sur,América
7,San Vicente y las Granadinas,Desarrollando,VCT,Caribe,América
8,Guyana,Desarrollando,GUY,América del Sur,América
9,Bahamas,Desarrollando,BHS,Caribe,América
10,Brasil,Desarrollando,BRA,América del Sur,América
11,Surinam,Desarrollando,SUR,América del Sur,América
12,Antigua y Barbuda,Desarrollando,ATG,Caribe,América
13,Jamaica,Desarrollando,JAM,Caribe,América
14,Belice,Desarrollando,BLZ,América central,América
15,Guatemala,Desarrollando,GTM,América central,América
16,Colombia,Desarrollando,COL,América del Sur,América
17,Chile,Desarrollando,CHL,América del Sur,América
18,Perú,Desarrollando,PER,América del Sur,América
19,Paraguay,Desarrollando,PRY,América del Sur,América
20,Honduras,Desarrollando,HND,América central,América
21,Santa Lucía,Desarrollando,LCA,Caribe,América
22,México,Desarrollando,MEX,América central,América
23,Barbados,Desarrollando,BRB,Caribe,América
24,Uruguay,Desarrollando,URY,América del Sur,América
25,Argentina,Desarrollando,ARG,América del Sur,América
26,Dominica,Desarrollando,DMA,Caribe,América
27,Venezuela,Desarrollando,VEN,América del Sur,América
28,Bolivia,Desarrollando,BOL,América del Sur,América
29,El Salvador,Desarrollando,SLV,América central,América
30,Estados Unidos,Industrializado,USA,América del Norte,América
31,Canadá,Industrializado,CAN,América del Norte,América
32,Haití,Desarrollo de LDC (países menos adelantados),HTI,Caribe,América
33,República Dominicana,Desarrollo de LDC (países menos adelantados),DOM,Caribe,América
